,Name der Klinik,Ort,Straße und Hausnummer,PLZ,Geburten gesamt 2022,Anzahl Kaiserschnitte 2022,Kaiserschnitt % 2022,IK,Standortnummer,Latitude,Longitude
0,DIAKO Klinikum,Flensburg,Knuthstr. 1,24939,1638,546,33,260100023,773287000,54.7901483,9.4253104
1,Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH ,Lübeck,Parade 3,23552,1369,482,35,260100272,772245000,53.862421,10.6853237
2,Johanniter-Krankenhaus Geesthacht GmbH,Geesthacht,Am Runden Berge 3,21502,705,146,21,260100432,772342000,53.4315254,10.3858089
3,DRK-Krankenhaus Mölln-Ratzeburg gGmbH,Ratzeburg,Röpersberg 2,23909,13,4,31,260100454,771582000,53.6898388,10.778847
4,"Klinikum Nordfriesland gGmbH, Klinik Husum",Husum,Erichsenweg 16,25813,762,273,36,260100476,772465000,54.4833008,9.0502002
5,"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",Wyk,Rebbelstieg  24,25938,Datenschutz,Datenschutz,Datenschutz,260100498,772457000,54.6853714,8.5642967
6,Asklepios Nordseeklinik Westerland,Sylt,Norderstr. 81,25980,Datenschutz,Datenschutz,Datenschutz,260100557,772802000,54.9254688,8.3132852
7,AMEOS Krankenhausgesellschaft mbH - Klinikum Eutin,Eutin,Hospitalstraße 22,23701,1020,313,31,260100626,773006000,54.1331514,10.6019612
8,Regio Kliniken GmbH - Klinikum Pinneberg,Pinneberg,Fahltskamp 74,25421,1099,346,31,260100739,772624000,53.654252,9.8118103
9,Klinik Preetz,Plön,Am Krankenhaus 5,24306,98,29,30,260100820,771667000,54.2390293,10.2768147
10,imland Klinik Rendsburg,Rendsburg,Lilienstr. 20-28,24768,956,371,39,260100875,773201000,54.2972385,9.6578833
11,HELIOS Klinik Schleswig GmbH,Schleswig,St. Jürgener Straße 1-3,24837,847,275,32,260100911,773094000,54.5250901,9.5658283
12,SEGEBERGER KLINIKEN GMBH-Standort Bad Segeberg,Bad Segeberg,Klosterkamp 1,23795,650,208,32,260101126,771942000,53.9418613,10.3076794
13,Klinikum Itzehoe,Itzehoe,Robert-Koch-Str. 2,25524,1769,689,39,260101137,772665000,53.9417141,9.5030113
14,Krankenhaus Reinbek St. Adolf-Stift GmbH,Reinbek,Hamburger Straße 41,21465,683,239,35,260101193,772660000,53.5097359,10.2406578
15,FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH,Neumünster,Friesenstraße 11,24534,953,216,23,260101488,772073000,54.0643392,9.9918004
16,Westküstenklinikum Heide,Heide,Esmarchstraße 50,25746,1019,433,42,260101865,771042000,54.1998975,9.0776793
17,Paracelsus-Klinik Henstedt-Ulzburg,Henstedt-Ulzburg,Wilstedter Straße 134,24558,578,185,32,260102081,773582000,53.7488769,10.0071822
18,"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Lübeck",Lübeck,Ratzeburger Allee 160,23538,1827,665,36,260102343,773447000,53.8387592,10.7078632
19,"UNIVERSITÄTSKLINIKUM Schleswig-Holstein, Campus Kiel",Kiel,Arnold-Heller-Straße 3,24105,1970,636,32,260102343,773448000,54.328446,10.1448833
20,Städtisches Krankenhaus Kiel GmbH,Kiel,Chemnitzstr. 33,24116,1943,520,27,260102434,772314000,54.3228203,10.1163371
21,Universitätsklinikum Hamburg-Eppendorf,Hamburg,Martinistraße 52,20246,2974,969,33,260200013,773675000,53.5909051,9.9753758
22,Asklepios Klinik Barmbek,Hamburg,Rübenkamp 220,22307,2948,1118,38,260200035,772584000,53.6062742,10.0364792
23,Asklepios Klinik Altona,Hamburg,Paul-Ehrlich-Straße 1,22763,3450,1318,38,260200068,773229000,53.5546206,9.8988903
24,Asklepios Klinik Wandsbek,Hamburg,Alphonsstraße 14,22043,961,357,37,260200104,772924000,53.5699009,10.0880663
25,Albertinen-Krankenhaus / Albertinen-Haus gemeinnützige GmbH,Hamburg,Süntelstraße 11,22457,2550,769,30,260200171,773271000,53.630568,9.9059997
26,Evangelisches Amalie Sieveking Krankenhaus,Hamburg,Haselkamp 33,22359,1236,238,19,260200206,772845000,53.6411202,10.1518478
27,Helios Mariahilf Klinik Hamburg,Hamburg,Stader Straße 203 ,21075,1762,509,29,260200386,773111000,53.4705307,9.9409238
28,Kath. Marienkrankenhaus gGmbH,Hamburg,Alfredstraße 9,22087,3163,1374,43,260200400,772533000,53.559033,10.0307399
29,Asklepios Klinik Nord - Heidberg,Hamburg,Tangstedter Landstraße 400,22417,1783,659,37,260200865,773463000,53.6741411,10.0301284
30,AGAPLESION BETHESDA KRANKENHAUS BERGEDORF GgmbH,Hamburg,Glindersweg 80,21029,639,194,30,260200901,772680000,53.4857786,10.2360022
31,AGAPLESION DIAKONIEKLINIKUM HAMBURG,Hamburg,Hohe Weide 17,20259,1185,320,27,260201194,772836000,53.5717926,9.965901
32,AGAPLESION EV. KLINIKUM SCHAUMBURG ,Obernkirchen,Zum Schaumburger Klinikum 1,31683,820,290,35,260300229,771343000,52.2639141,9.1053674
33,Delme-Klinikum Delmenhorst GmbH,Delmenhorst,Wildeshauser Straße 92,27753,794,219,28,260300332,771245000,53.0444917,8.5934208
34,Städtisches Klinikum Braunschweig gGmbH,Braunschweig,Salzdahlumer Straße  90,38126,2037,747,37,260310209,772208000,52.2379345,10.5458436
35,Krankenhaus Marienstift,Braunschweig,Helmstedter Str. 35,38102,1031,280,27,260310221,772897000,52.2586577,10.5458152
36,HELIOS Klinikum Gifhorn GmbH,Gifhorn,Campus 6,38518,1297,366,28,260310367,772608000,52.4971131,10.5482638
37,Universitätsmedizin Göttingen,Göttingen,Robert-Koch-Straße 40,37075,1131,464,41,260310378,772918000,51.5508193,9.9428282
38,Asklepios Harzklinik Goslar,Goslar,Kösliner Straße 12,38642,457,134,29,260310469,773543000,51.9281779,10.4425161
39,Helios St. Marienberg Klinik Helmstedt GmbH,Helmstedt,Conringstraße 26,38350,500,155,31,260310539,772882000,52.2318762,10.9993091
40,HELIOS Albert-Schweitzer-Klinik Northeim [NOM],Northeim,Albert-Schweitzer-Weg  1 ,37154,367,140,38,260310595,772891000,51.7298077,9.9788643
41,Helios Klinik Herzberg/Osterode,Herzberg am Harz,Dr.-Frössel-Allee 1,37412,617,137,22,260310619,771053000,51.6693949,10.343182
42,St. Elisabeth-Krankenhaus Salzgitter gGmbH,Salzgitter,Liebenhaller Str. 20,38259,207,80,39,260310664,773694000,52.0454249,10.3718545
43,Helios Klinikum Salzgitter GmbH,Salzgitter,Kattowitzer Str. 191,38226,709,166,23,260310686,772993000,52.1547473,10.3189944
44,Städtisches Klinikum Wolfenbüttel gGmbH,Wolfenbüttel,Alter Weg 80,38302,804,259,32,260310744,771528000,52.179908,10.5336512
45,Klinikum Wolfsburg,Wolfsburg,Sauerbruchstraße 7,38440,1637,554,34,260310766,771722000,52.4136733,10.7685967
46,Evangelisches Krankenhaus Göttingen-Weende gGmbH - Krankenhaus Neu-Mariahilf,Göttingen,Waldweg 9,37073,545,167,31,260311051,772685000,51.5416674,9.9425812
47,AGAPLESION KRANKENHAUS NEU BETHLEHEM gGmbH,Göttingen,Humboldtallee 8,37073,1035,348,34,260311302,772116000,51.5407629,9.9431197
48,Gesundheitseinrichtungen Hameln-Pyrmont GmbH - Sana Klinikum Hameln-Pyrmont,Hameln,Saint-Maur-Platz 1,31785,1154,355,31,260320336,771624000,52.1075395,9.3515814
49,DIAKOVERE Henriettenstift,Hannover,Schwemannstraße 17,30559,2571,806,31,260320520,773198000,52.3632727,9.8275698
50,DIAKOVERE Friederikenstift ,Hannover,Humboldtstraße 5,30169,1372,285,21,260320531,773199000,52.3714202,9.724387
51,Medizinische Hochschule Hannover,Hannover,Carl-Neuberg-Straße 1,30625,2589,761,29,260320597,771519000,52.3842111,9.802795
52,Vinzenzkrankenhaus Hannover,Hannover,Lange-Feld-Strasse 31,30559,1257,224,18,260320600,771767000,52.3585754,9.814758
53,St. Bernward Krankenhaus,Hildesheim,Treibestr. 9,31134,1663,618,37,260320622,772333000,52.1471581,9.9474414
54,Helios Klinikum Hildesheim GmbH,Hildesheim,Senator-Braun-Allee 33,31135,1570,560,36,260320633,772733000,52.1513519,9.9766887
55,Helios Kliniken Mittelweser GmbH,Nienburg,Ziegelkampstraße 39,31582,534,172,32,260321304,773542000,52.6357175,9.224454
56,KRH Klinikum Robert Koch Gehrden,Gehrden,Von-Reden-Straße 1,30989,1067,233,22,260321451,772731000,52.30439,9.5984899
57,KRH Klinikum Großburgwedel,Burgwedel,Fuhrberger Straße 8,30938,435,138,32,260321495,772488000,52.4963561,9.861977
58,KRH Klinikum Neustadt am Rübenberge,Neustadt am Rübenberge,Lindenstraße  75,31535,1113,314,28,260321510,772823000,52.4936335,9.4663147
59,AGAPLESION EVANGELISCHES KRANKENHAUS HOLZMINDEN,Holzminden,Forster Weg  34,37603,416,76,18,260321714,771391000,51.834176,9.4555442
60,OsteMed Klinik Bremervörde,Bremervörde,Gnarrenburger Straße 117,27432,371,91,25,260330098,773364000,53.4713845,9.1356565
61,Krankenhaus Buchholz,Buchholz in der Nordheide,Steinbecker Straße 44,21244,845,250,30,260330112,772558000,53.3332728,9.8716353
62,Elbe Klinikum Buxtehude,Buxtehude,Am Krankenhaus 1,21614,939,241,26,260330123,771497000,53.4618394,9.6759532
63,ALLGEMEINES KRANKENHAUS CELLE,Celle,Siemensplatz 4,29223,1566,416,27,260330134,772671000,52.62889,10.0862561
64,Helios Klinik Cuxhaven GmbH,Cuxhaven,Altenwalder Chaussee 10,27474,603,223,37,260330167,772803000,53.8527502,8.6927855
65,Elbe-Jeetzel-Klinik Dannenberg,Dannenberg,Hermann-Löns-Straße 2,29451,256,66,26,260330190,771160000,53.082869,11.0795617
